ResponseId,Duration (in seconds),Q1,Q187,Q188,Q184,Q183,Q17,Q17_DO,Q18_1,Q193,Q193_DO,Q194_1
R_1jkQFD7koam1P4C,18,"I consent, begin the study",25-34 years old,Male,Asian,Yes,,,,Very good,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,
R_1ziP1dCyikYE6z9,15,"I consent, begin the study",18-24 years old,Male,White or Caucasian,No,,,,Somewhat good,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,
R_7rDq5lKszYyOG5a,50,"I consent, begin the study",18-24 years old,Female,White or Caucasian,No,Somewhat bad,Very bad|Somewhat bad|Neither good nor bad|Somewhat good|Very good,,,,
R_39QshBWHBf6Sgw1,43,"I consent, begin the study",18-24 years old,Female,,Yes,,,50,,,
R_1atrUlghoPTYPc1,37,"I consent, begin the study",18-24 years old,Female,Black or African American,No,,,,,,75
R_77qHHtqcL4aMBER,34,"I consent, begin the study",18-24 years old,Female,White or Caucasian,No,,,65,,,
R_6WI0e2RD8hLylcH,33,"I consent, begin the study",18-24 years old,Female,White or Caucasian,No,,,,Somewhat good,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,
R_62hg6q8IXxbWVBT,17,"I consent, begin the study",25-34 years old,Male,Asian,Yes,,,,Somewhat good,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,
R_1ozDdvcBLKaHI2e,33,"I consent, begin the study",25-34 years old,Female,White or Caucasian,No,Somewhat bad,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,,,,
R_77NEok1u5qr3ubL,27,"I consent, begin the study",25-34 years old,Female,"White or Caucasian,Other",No,Somewhat bad,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,,,,
R_5lBd5dFFfNvZTDr,37,"I consent, begin the study",18-24 years old,Female,Asian,No,,,,Somewhat good,Very bad|Somewhat bad|Neither good nor bad|Somewhat good|Very good,
R_57KumoptwhuNezD,19,"I consent, begin the study",18-24 years old,Female,Black or African American,No,,,,,,76
R_3nVZEcW6ATaoPuI,24,"I consent, begin the study",18-24 years old,Female,"White or Caucasian,Asian",No,,,70,,,
R_7MDJhIV7Mxjx5n5,188,"I consent, begin the study",18-24 years old,Female,,No,,,,,,70
R_1hvOAMuMKocjxe1,31,"I consent, begin the study",25-34 years old,Female,White or Caucasian,No,Somewhat good,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,,,,
R_8aDBL4AYNQGcFqq,23,"I consent, begin the study",18-24 years old,Female,White or Caucasian,No,,,,Neither good nor bad,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,
R_6BRVg4RxiMwCWCL,425447,"I consent, begin the study",18-24 years old,Female,Asian,No,,,65,,,
R_3D64xr7x8v7Wews,21,"I consent, begin the study",18-24 years old,Female,Asian,No,,,70,,,
R_6qmShTN4o1k1g8c,41,"I consent, begin the study",25-34 years old,Prefer not to say,Other,Yes,,,,,,50
R_3JeUXE6XHR88pX3,24,"I consent, begin the study",25-34 years old,Male,Asian,No,,,,Somewhat good,Very good|Somewhat good|Neither good nor bad|Somewhat bad|Very bad,
R_6zc0auv0TjCXaXj,17,"I consent, begin the study",25-34 years old,Non-binary / third gender,Asian,No,Somewhat good,Very bad|Somewhat bad|Neither good nor bad|Somewhat good|Very good,,,,
R_5KlmVVknZ71eTzr,55,"I consent, begin the study",25-34 years old,Prefer not to say,Asian,No,,,,,,100
R_1xwU00KhjTwDIhB,34,"I consent, begin the study",25-34 years old,Non-binary / third gender,White or Caucasian,No,,,60,,,
